mhz,phi,theta,gain_total,gain_horiz,gain_vert,gain_rhcp,gain_lhcp
30.000000,89.999999995450708,0,-999.99000000000001,-2999.9899999999998,-999.99000000000001,-1003.0002999566398,-1003.0002999566398
30.000000,89.999999995450708,0.99999999994945232,-34.383566057366146,-2034.3835660573661,-34.383566057366146,-37.393866014005958,-37.393866014005958
30.000000,89.999999995450708,1.9999999998989046,-28.362661395492509,-2028.3626613954925,-28.362661395492509,-31.372961352132322,-31.372961352132322
30.000000,89.999999995450708,2.9999999998483573,-24.840331284217825,-2024.8403312842179,-24.840331284217825,-27.850631240857638,-27.850631240857638
30.000000,89.999999995450708,3.9999999997978093,-22.34085591141627,-2022.3408559114164,-22.34085591141627,-25.351155868056082,-25.351155868056082
30.000000,89.999999995450708,4.9999999997472617,-20.401765549389907,-2020.4017655493899,-20.401765549389907,-23.41206550602972,-23.41206550602972
30.000000,89.999999995450708,5.9999999996967137,-18.817069082494438,-2018.8170690824945,-18.817069082494438,-21.827369039134251,-21.827369039134251
30.000000,89.999999995450708,6.9999999996461657,-17.476890071804608,-2017.4768900718045,-17.476890071804608,-20.48719002844442,-20.48719002844442
30.000000,89.999999995450708,7.9999999995956186,-16.315647752827982,-2016.315647752828,-16.315647752827982,-19.325947709467794,-19.325947709467794
30.000000,89.999999995450708,8.9999999995450715,-15.291046994024061,-2015.2910469940241,-15.291046994024061,-18.301346950663874,-18.301346950663874
30.000000,89.999999995450708,9.9999999994945235,-14.374214872112475,-2014.3742148721126,-14.374214872112475,-17.384514828752287,-17.384514828752287
30.000000,89.999999995450708,10.999999999443975,-13.544563461584143,-2013.5445634615842,-13.544563461584143,-16.554863418223956,-16.554863418223956
30.000000,89.999999995450708,11.999999999393427,-12.786897391854431,-2012.7868973918544,-12.786897391854431,-15.797197348494244,-15.797197348494244
30.000000,89.999999995450708,12.999999999342879,-12.089683140982467,-2012.0896831409825,-12.089683140982467,-15.09998309762228,-15.09998309762228
30.000000,89.999999995450708,13.999999999292331,-11.443961532122653,-2011.4439615321226,-11.443961532122653,-14.454261488762466,-14.454261488762466
30.000000,89.999999995450708,14.999999999241785,-10.842636318685297,-2010.8426363186852,-10.842636318685297,-13.85293627532511,-13.85293627532511
30.000000,89.999999995450708,15.999999999191237,-10.279992824813791,-2010.2799928248137,-10.279992824813791,-13.290292781453603,-13.290292781453603
30.000000,89.999999995450708,16.999999999140691,-9.7513627599945565,-2009.7513627599947,-9.7513627599945565,-12.761662716634369,-12.761662716634369
30.000000,89.999999995450708,17.999999999090143,-9.2528849728933373,-2009.2528849728933,-9.2528849728933373,-12.26318492953315,-12.26318492953315
30.000000,89.999999995450708,18.999999999039595,-8.7813309640903192,-2008.7813309640903,-8.7813309640903192,-11.791630920730132,-11.791630920730132
30.000000,89.999999995450708,19.999999998989047,-8.3339751947745597,-2008.3339751947747,-8.3339751947745597,-11.344275151414372,-11.344275151414372
30.000000,89.999999995450708,20.999999998938499,-7.9084970583907399,-2007.9084970583908,-7.9084970583907399,-10.918797015030552,-10.918797015030552
30.000000,89.999999995450708,21.999999998887951,-7.5029056656199984,-2007.5029056656199,-7.5029056656199984,-10.513205622259811,-10.513205622259811
30.000000,89.999999995450708,22.999999998837403,-7.1154813506869585,-2007.1154813506869,-7.1154813506869585,-10.12578130732677,-10.12578130732677
30.000000,89.999999995450708,23.999999998786855,-6.7447296242718018,-2006.7447296242717,-6.7447296242718018,-9.7550295809116143,-9.7550295809116143
30.000000,89.999999995450708,24.999999998736307,-6.3893445212932418,-2006.3893445212932,-6.3893445212932418,-9.3996444779330535,-9.3996444779330535
30.000000,89.999999995450708,25.999999998685759,-6.0481791306006558,-2006.0481791306006,-6.0481791306006558,-9.0584790872404675,-9.0584790872404675
30.000000,89.999999995450708,26.999999998635211,-5.7202216788485218,-2005.7202216788485,-5.7202216788485218,-8.7305216354883335,-8.7305216354883335
30.000000,89.999999995450708,27.999999998584663,-5.4045759556107056,-2005.4045759556107,-5.4045759556107056,-8.4148759122505172,-8.4148759122505172
30.000000,89.999999995450708,28.999999998534115,-5.1004451650186269,-2005.1004451650185,-5.1004451650186269,-8.1107451216584394,-8.1107451216584394
30.000000,89.999999995450708,29.99999999848357,-4.8071185064765674,-2004.8071185064766,-4.8071185064765674,-7.817418463116379,-7.817418463116379
30.000000,89.999999995450708,30.999999998433026,-4.5239599472338989,-2004.5239599472338,-4.5239599472338989,-7.5342599038737106,-7.5342599038737106
30.000000,89.999999995450708,31.999999998382481,-4.2503987690913263,-2004.2503987690914,-4.2503987690913263,-7.2606987257311388,-7.2606987257311388
30.000000,89.999999995450708,32.999999998331937,-3.9859215615762897,-2003.9859215615763,-3.9859215615762897,-6.9962215182161014,-6.9962215182161014
30.000000,89.999999995450708,33.999999998281389,-3.7300654024562903,-2003.7300654024564,-3.7300654024562903,-6.7403653590961028,-6.7403653590961028
30.000000,89.999999995450708,34.999999998230848,-3.4824120190889758,-2003.482412019089,-3.4824120190889758,-6.4927119757287883,-6.4927119757287883
